"hc-key","value"
"tw-ph",10
"cn-sh",20
"tw-km",130
"cn-zj",240
"tw-lk",350
"cn-3664",460
"cn-3681",570
"cn-fj",680
"cn-gd",720
"tw-tw",730
"tw-cs",30
"cn-6657",40
"cn-6663",50
"cn-6665",60
"cn-6666",70
"cn-6667",80
"cn-6669",90
"cn-6670",100
"cn-6671",110
"tw-kh",120
"tw-hs",140
"cn-yn",150
"cn-xz",160
"tw-hh",170
"tw-cl",180
"tw-ml",190
"cn-nx",200
"cn-sa",210
"tw-ty",220
"cn-3682",230
"tw-cg",250
"cn-6655",260
"cn-ah",270
"cn-hu",280
"tw-hl",290
"tw-th",300
"cn-6656",310
"tw-nt",320
"cn-6658",330
"cn-6659",340
"cn-cq",360
"cn-hn",370
"tw-yl",380
"cn-6660",390
"cn-6661",400
"cn-6662",410
"cn-6664",420
"cn-6668",430
"tw-pt",440
"tw-tt",450
"tw-tn",470
"cn-bj",480
"cn-hb",490
"tw-il",500
"tw-tp",510
"cn-sd",520
"tw-ch",530
"cn-tj",540
"cn-ha",550
"cn-jl",560
"cn-qh",580
"cn-xj",590
"cn-nm",600
"cn-hl",610
"cn-sc",620
"cn-gz",630
"cn-gx",640
"cn-ln",650
"cn-js",660
"cn-gs",670
"cn-sx",690
"cn-he",700
"cn-jx",710
